2024-10-11 20:03:47.161 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubbish service" is Negative. The use of the word "rubbish" conve\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:03:47.161 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubbish service" is Negative. The use of the word "rubbish" conve\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)') at http://127.0.0.1:8000/chat
2024-10-11 20:07:07.318 | ERROR    | app.services.chatbot_service:get_chatbot_response:143 - Unexpected error in get_chatbot_response: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is Negative. The use of the word "rubbish" indica\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:07:07.318 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is Negative. The use of the word "rubbish" indica\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:07:07.333 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is Negative. The use of the word "rubbish" indica\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)') at http://127.0.0.1:8000/chat
2024-10-11 20:07:34.916 | ERROR    | app.services.chatbot_service:get_chatbot_response:143 - Unexpected error in get_chatbot_response: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is Negative. The term "rubbish" indicates dissati\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:07:34.916 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is Negative. The term "rubbish" indicates dissati\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:07:34.934 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is Negative. The term "rubbish" indicates dissati\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)') at http://127.0.0.1:8000/chat
2024-10-11 20:11:33.729 | ERROR    | app.services.chatbot_service:get_chatbot_response:143 - Unexpected error in get_chatbot_response: Logger.log() missing 1 required positional argument: '_Logger__message'
2024-10-11 20:11:33.745 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: Logger.log() missing 1 required positional argument: '_Logger__message'
2024-10-11 20:11:33.745 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: Logger.log() missing 1 required positional argument: '_Logger__message' at http://127.0.0.1:8000/chat
2024-10-11 20:13:59.416 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: cannot unpack non-iterable NoneType object
2024-10-11 20:13:59.416 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: cannot unpack non-iterable NoneType object at http://127.0.0.1:8000/chat
2024-10-11 20:14:18.197 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: cannot unpack non-iterable NoneType object
2024-10-11 20:14:18.215 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: cannot unpack non-iterable NoneType object at http://127.0.0.1:8000/chat
2024-10-11 20:17:09.859 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: cannot unpack non-iterable NoneType object
2024-10-11 20:17:09.859 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: cannot unpack non-iterable NoneType object at http://127.0.0.1:8000/chat
